lambda_shift,lower_400h,upper_400h,width_400h
0.0,0.770740151313178,0.810166291003545,0.03942613969036701
0.05,0.7721486277644505,0.8075545086418698,0.03540588087741936
0.1,0.7688216476265566,0.8054459101076619,0.036624262481105285
0.15000000000000002,0.7665770255501572,0.8035839820022904,0.037006956452133255
0.2,0.7646421320811303,0.8004821037136056,0.03583997163247532
0.25,0.7617982008990759,0.7989199559612873,0.03712175506221138
0.30000000000000004,0.7589133371656896,0.7961411258422825,0.03722778867659282
0.35000000000000003,0.7530095776928147,0.7942490177212362,0.041239440028421503
0.4,0.754634732445377,0.7924352985919749,0.03780056614659788
0.45,0.7509417338386805,0.7897186984388297,0.03877696460014923
0.5,0.7497990878203928,0.7874627727108889,0.037663684890496096
0.55,0.7453308460991208,0.7853002380773425,0.03996939197822169
0.6000000000000001,0.743677383009679,0.7834638998023524,0.03978651679267342
0.65,0.7396974475750151,0.780659891339714,0.04096244376469893
0.7000000000000001,0.7397925858515797,0.7785398109226971,0.038747225071117386
0.75,0.7372011227369594,0.7759168477148197,0.038715724977860355
0.8,0.7360646233683418,0.7734370121011183,0.037372388732776485
0.8500000000000001,0.7300003160243247,0.7717946016188183,0.04179428559449361
0.9,0.7274326512499707,0.769308265590967,0.04187561434099629
0.9500000000000001,0.7273381773862331,0.767113582236425,0.03977540485019193
1.0,0.7228203299846825,0.7648616237586046,0.04204129377392207
